original_title,runtime,tagline,vote_average
Because I Said So,102,She's just your normal  overprotective  overbearing  over-the-top mother.,5.8
Frankenweenie,87,The electrifying dog is back from beyond the grave,6.6
Serenity,119,Can't stop the signal.,7.4
Against the Ropes,106,xyz,4.5
Superman III,125,If the world's most powerful computer can control even Superman...no one on earth is safe.,5.3
Grudge Match,113,DeNiro vs Stallone,6
Chi bi,150,The future will be decided.,7.1
Sweet Home Alabama,108,Sometimes What You're Looking For Is Right Where You Left It.,6
The Ugly Truth,96,The battle of the sexes is on.,6.4
Sgt. Bilko,90,All he ever wanted was an honest week's pay for an honest day's work.,5.5
Spy Kids 2: The Island of Lost Dreams,100,Little Spies. Big Attitudes,5.3
Star Trek: Generations,118,Boldly go.,6.4
一代宗師,130,In Martial Arts there is no right or wrong  only the last man standing.,6.3
Water for Elephants,120,Life is the most spectacular show on earth.,6.7
Dragon Nest: Warriors' Dawn,88,xyz,6.8
The Hurricane,146,His greatest fight was for justice.,7.2
Enough,114,Everyone has a limit.,6.2
Heartbreakers,123,Caution: Dangerous Curves Ahead,5.7
Paul Blart: Mall Cop 2,94,Vegas has a new high roller.,5
Angel Eyes,102,The deeper you look  the more you will find.,5.6
Joe Somebody,99,Someone just picked on the wrong nobody.,5.5
The Ninth Gate,133,Every book has a life of its own.,6.3
Extreme Measures,118,Not all surgery is intended to cure.,5.7
Rock Star,105,The story of a wanna be who got to be.,6
Precious,110,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.,6.9
White Squall,129,xyz,6.3
The Thing,109,Man is The Warmest Place to Hide.,7.8
Riddick,119,Survival Is His Revenge,6.2
Switchback,118,The hunter becomes the hunted.,5.8
Texas Rangers,110,xyz,5.4
City of Ember,90,Escape is the only option,6.2
The Master,137,Every Man Needs a Guide,7
Virgin Territory,93,Anything Can Happen When You're In ... Virgin Territory,4.3
The Express,130,He changed our country... one yard at a time.,7.1
The 5th Wave,112,Protect Your Own,5.6
Creed,133,Your legacy is more than a name,7.3
The Town,125,Welcome to the bank robbery capital of America.,7
What to Expect When You're Expecting,110,It's too late to pull out now.,5.8
Burn After Reading,96,Intelligence is relative.,6.5
Nim's Island,96,Your adventure starts here.,5.6
Rush,123,Everyone's driven by something.,7.7
Magnolia,188,Things fall down. People look up. And when it rains  it pours.,7.5
Cop Out,107,Rock out with your Glock out,5.3
How to Be Single,110,Welcome to the party,5.9
Dolphin Tale,113,Inspired by the amazing true story of Winter.,6.7
Twilight,122,When you can live forever  what do you live for?,5.8
John Q,116,Give a father no options and you leave him no choice.,7
Blue Streak,93,He's A Cop That's Not.,6.1
We're the Millers,110,#NAME?,6.8
Obitaemyy Ostrov,115,xyz,5.3
Breakdown,95,It could happen to you.,6.6
Never Say Never Again,134,Sean Connery is James Bond 007,5.8
Hot Tub Time Machine,101,Kick some past,6
Dolphin Tale 2,107,WINTER's amazing true story... now has HOPE.,6.7
Reindeer Games,124,The trap is set. The game is on.,5.4
A Man Apart,109,Love changes a man. Revenge tears him apart.,5.8
Aloha,105,Sometimes you have to say goodbye before you can say hello.,5.2
Ghosts of Mississippi,130,From the director of A FEW GOOD MEN comes a compelling TRUE STORY.,6.2
Snow Falling on Cedars,127,From the director of 'Shine',6.3
The Rite,114,You can only defeat it when you believe.,5.8
Gattaca,106,There is no gene for the human spirit.,7.5
Isn't She Great,95,Talent Isn't Everything...,4.6
Space Chimps,81,Houston  we have a problem!,5.2
Head of State,95,xyz,5.3
The Hangover,100,Some guys just can't handle Vegas.,7.2
葉問3,105,xyz,6.5
Austin Powers: The Spy Who Shagged Me,95,I'm back  baby!,6.2
Batman,126,Have you ever danced with the devil in the pale moonlight?,7
There Be Dragons,112,xyz,5.9
Lethal Weapon 3,118,The magic is back again!,6.4
The Blind Side,129,Based on the extraordinary true story,7.2
Spy Kids,88,Real spies...only smaller,5.5
Horrible Bosses,98,Ever wish your boss was dead?,6.5
True Grit,110,Punishment Comes One Way or Another.,7.2
The Devil Wears Prada,109,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,7
Star Trek: The Motion Picture,132,The human adventure is just beginning.,6.2
Identity Thief,111,She's having the time of his life,5.6
Cape Fear,128,There is nothing in the dark that isn't there in the light. Except fear.,7
21,123,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,6.5
Trainwreck,125,We All Know One.,5.9
Guess Who,105,His house. His rules. Some in-laws were made to be broken.,5.5
The English Patient,162,In love  there are no boundaries.,7
L.A. Confidential,138,Everything is suspect... Everyone is for sale... And nothing is what it seems.,7.7
Sky High,100,Saving The World... One Homework Assignment At A Time.,5.8
In & Out,90,An out-and-out comedy.,6.3
Species,108,Our time is up.,5.5
A Nightmare on Elm Street,91,If Nancy Doesn't Wake Up Screaming  She Won't Wake Up At All!,7.2
The Cell,107,Enter The Mind Of A Killer,6
The Man in the Iron Mask,132,For the honor of a king. And the destiny of a country. All for one.,6.3
Secretariat,123,The Impossible True Story,6.8
TMNT,90,xyz,6
Radio,109,His courage made them champions.,6.8
Friends with Benefits,109,Some friends come with a happy ending.,6.5
Neighbors 2: Sorority Rising,91,New neighbors.,5.6
Saving Mr. Banks,125,Where her book ended  their story began.,7.3
Malcolm X,202,xyz,7.2
This Is 40,134,The sort-of sequel to 'Knocked Up',5.6
Old Dogs,88,Life is Not Child-Proof.,5.2
Underworld: Rise of the Lycans,92,Every war has a beginning.,6.2
License to Wed,91,First came love... then came Reverend Frank.,5.2
The Benchwarmers,80,Get off the bench and get into the game.,5.2
Must Love Dogs,98,xyz,5.8
Donnie Brasco,127,Based on a true story.,7.4
Resident Evil,100,A secret experiment. A deadly virus. A fatal mistake.,6.4
Poltergeist,114,They're here.,7
The Ladykillers,104,The greatest criminal minds of all time have finally met their match.,6
Max Payne,100,When a Man Has Lost Everything. He Only has Revenge,5.2
In Time,109,Time Is Power,6.7
The Back-Up Plan,106,Fall in love  get married  have a baby. Not necessarily in that order.,5.7
Something Borrowed,112,It's a thin line between love and friendship.,5.9
Black Knight,95,It's only a flesh wound!,5.1
The Bad News Bears,102,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.,6.9
Street Fighter,102,The fight to save the world is on!,4.1
The Pianist,150,Music was his passion. Survival was his masterpiece.,8
The Nativity Story,101,Her child would change the world.,6.4
House of Wax,113,Prey. Slay. Display,5.5
Closer,104,If you believe in love at first sight  you never stop looking.,6.7
J. Edgar,137,The most powerful man in the world.,6
Mirrors,110,There is evil...On the other side.,6
Queen of the Damned,101,This time there are no interviews.,5.4
Predator 2,108,Silent. Invisible. Invincible. He's in town with a few days to kill.,5.9
Untraceable,101,A cyber killer has finally found the perfect accomplice: You.,5.9
Blast from the Past,112,She'd never met anyone like him. He's never met anyone... Period.,6.3
Flash Gordon,111,He'll save every one of us!,6.1
Jersey Girl,102,He wanted it all...but he got more than he bargained for.,5.8
Alex Cross,101,Don't Ever Cross Alex Cross,5.1
Midnight in the Garden of Good and Evil,155,xyz,6.3
Heist,93,Never make a bet you can't afford to lose.,5.6
Nanny McPhee and the Big Bang,109,You'll Believe That Pigs Can Fly!,6
Hoffa,140,xyz,6.1
The X Files: I Want to Believe,104,To find the truth  you must believe.,5.5
Ella Enchanted,96,Get enchanted,5.9
Concussion,123,Even Legends Need a Hero,7
Abduction,106,They stole his life. He's taking it back.,5.6
Valiant,76,Some pigeons eat crumbs  others make history.,5.2
Wonder Boys,111,Undependable. Unpredictable. Unforgettable.,6.9
Superhero Movie,85,The greatest Superhero movie of all time! (not counting all the others),4.9
Broken City,109,Proof Can Be a Powerful Weapon.,5.7
Cursed,97,What doesn't kill you makes you stronger.,5.1
Premium Rush,91,Ride Like Hell,6.2
Hot Pursuit,87,Armed and Sort-of Dangerous.,5.4
The Four Feathers,132,Freedom. Country. Honor. Passion. To save his best friend  one man must risk everything he loves.,6.5
Parker,118,To get away clean  you have to play dirty.,5.7
Wimbledon,98,She's the golden girl. He's the longshot. It's a match made in...,6
Furry Vengeance,92,He came. He saw. They conquered.,4.6
Bait,93,Cleanup on aisle 7.,5.3
Krull,117,A world light-years beyond your imagination.,5.8
Lions for Lambs,92,If you don't STAND for something  you might FALL for anything.,6
Flight of the Intruder,115,The only thing they can count on is each other.,5.7
Walk Hard: The Dewey Cox Story,96,Life made him tough. Love made him strong. Music made him hard.,6.6
The Shipping News,111,You'll never guess what you'll find inside...,6.4
American Outlaws,94,Sometimes the wrong side of the law is the right place to be.,5.7
The Young Victoria,105,Love rules all.,7
Whiteout,101,See Your Last Breath,5.3
The Tree of Life,139,Nothing stands still.,6.5
Knock Off,91,There is no substitute.,4.7
Sabotage,110,Leave no loose ends,5.5
The Order,102,Every soul has its price.,4.8
Punisher: War Zone,102,Vengeance has a name,5.6
Zoom,83,They're going to save the world... as long as they're home for dinner.,4.9
The Walk,123,Dream High.,6.9
Warriors of Virtue,103,In a world beyond your imagination a battle for the universe has begun.,4.7
A Good Year,118,Everything matures... eventually.,6.5
Radio Flyer,114,Powered by imagination.,6.6
Bound by Honor,180,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,7.7
Smilla's Sense of Snow,121,Some Tracks Should Never Be Uncovered.,6.6
Femme Fatale,114,Nothing is more desirable or more deadly than a woman with a secret.,6.2
Lion of the Desert,173,He was a man of honor in a war without any.,7.4
Le Hussard sur le toit,135,xyz,6.7
Ride with the Devil,138,In a No-man's Land between North and South  You didn't fight for the Blue or the Grey... You fought for your friends and family.,6.6
Biutiful,148,You don't choose your family. We all belong to somebody  but to belong to Uxbal and Marambra  is both a blessing and a curse.,7
Bandidas,93,Being BAD never looked so GOOD!,5.8
Black Water Transit,100,xyz,0
The Maze Runner,113,Run - Remember - Survive,7
Unfinished Business,91,Best business trip ever.,5
The Age of Innocence,139,In a world of tradition. In an age of innocence. They dared to break the rules.,7
The Fountain,96,Death is the road to awe,6.8
Chill Factor,101,This Fall  Action is served on the rocks  with a twist.,5.3
Stolen,96,Never steal from the world's greatest thief.,5.1
崖の上のポニョ,100,Welcome To A World Where Anything Is Possible.,7.5
The Longest Ride,128,Two couples. Two love stories. One epic tale.,7.3
The Astronaut's Wife,109,How well do you know the one you love?,5.4
I Dreamed of Africa,114,Sometimes the adventure of a lifetime becomes life itself.,5.3
Playing for Keeps,106,xyz,5.4
Mandela: Long Walk to Freedom,141,It is an ideal for which I am prepared to die.,6.5
Reds,195,Not since Gone With The Wind has there been a great romantic epic like it!,7.1
A Few Good Men,138,xyz,7.1
Exit Wounds,101,This Is Gonna Hurt,5.3
Big Momma's House,98,This FBI agent is going undercover... and he's concealing more than a weapon.,5.6
The House of Magic,85,One lost little cat. One magical adventure.,6.3
The Darkest Hour,89,Survive The Holidays,4.8
Step Up Revolution,99,One Step Can Change Your World,6.7
Snakes on a Plane,105,At 30 000 feet  snakes aren't the deadliest thing on this plane.,5.1
The Watcher,96,Don't go home alone.,4.9
The Punisher,124,There is no justice  there is only revenge.,6.1
Goal!: The Dream Begins,118,Every Dream Has A Beginning,6.6
Safe,94,She has the code. He is the key.,6.3
Pushing Tin,124,A comedy about losing control,5.7
Return of the Jedi,135,The Empire Falls...,7.9
Doomsday,108,Mankind has an expiration date.,5.8
The Reader,124,Behind the mystery lies a truth that will make you question everything you know.,7.2
Wanderlust,98,Leave your baggage behind,5.3
Elf,97,This holiday  discover your inner elf.,6.4
Phenomenon,123,Some things in life just can't be explained.,6.2
Snow Dogs,99,Get ready for mush hour!,5.3
Scrooged,101,The spirits will move you in odd and hysterical ways.,6.7
Nacho Libre,92,He's not lean. He's not mean. He's nacho average hero.,5.6
Bridesmaids,125,Save the date,6.5
This Is the End,107,Nothing ruins a party like the end of the world.,6.3
Stigmata,103,The messenger must be silenced.,6
Men of Honor,129,History is made by those who break the rules.,7
Takers,107,Who's Taking Who?,6
The Big Wedding,90,It's never too late to start acting like a family,5.7
Big Mommas: Like Father  Like Son,107,Momma's got back-up.,5.3
Source Code,93,Make Every Second Count,7.1
Alive,120,They survived the impossible...by doing the unthinkable.,6.7
The Number 23,101,First it takes hold of your mind...then it takes hold of your life.,6.3
The Young and Prodigious T.S. Spivet,105,xyz,6.7
1941,113,Paranoia meets pandemonium.,5.6
Dreamer: Inspired By a True Story,106,xyz,6.3
A History of Violence,96,Tom Stall had the perfect life... until he became a hero.,6.9
Transporter 2,87,The Best In The Business Is Back In The Game.,6.2
The Quick and the Dead,107,Think you are quick enough?,6.3
Laws of Attraction,90,Love always has the last word.,5.6
Bringing Out the Dead,121,xyz,6.6
Repo Men,111,For a price  any organ in your body can be replaced. But it can also be repossessed.,6.2
디워,90,They've made our world their battleground,4
Bogus,110,A comedy about losing your heart  finding your inner child and meeting the one friend you've always tried to avoid.,5.4
The Incredible Burt Wonderstone,100,Abracatastic!,5.3
Cats Don't Dance,75,It's a Jungle Out There!,7.1
Cradle Will Rock,132,xyz,7.2
The Good German,108,If war is Hell  then what comes after?,5.9
George and the Dragon,93,xyz,5
Apocalypse Now,153,This is the end...,8
Going the Distance,102,A comedy about meeting each other halfway.,6
